"Entry ID","Structure Author","Deposition Date","Resolution (Å)","Citation Author","Title","Publication Year","Structure Title","Expression Host","Source Organism","Total Number of Polymer Residues per Assembly",
,"Bartels, H.",,,,,,,,"Thermus thermophilus",,
,"Agmon, I.",,,,,,,,"Thermus thermophilus",,
,"Franceschi, F.",,,,,,,,"Thermus thermophilus",,
,"Yonath, A.",,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
"1GD8","Vassylyev, D.G.","2000-09-22","2.3","Vassylyev, D.G., Shirouzu, M., Wada, T., Yokoyama, S.","The crystal structure of the bacteria-specific L17 ribosomal protein from Thermus thermophilus.",,"THE CRYSTAL STRUCTURE OF BACTERIA-SPECIFIC L17 RIBOSOMAL PROTEIN.","Escherichia coli","Thermus thermophilus",118,
,"Shirouzu, M.",,,,,,,,,118,
,"Wada, T.",,,,,,,,,118,
,"Yokoyama, S.",,,,,,,,,118,
,"RIKEN Structural Genomics/Proteomics Initiative (RSGI)",,,,,,,,,118,
,,,,,,,,,,118,
,,,,,,,,,,118,
,,,,,,,,,,118,
,,,,,,,,,,118,
"1HNW","Brodersen, D.E.","2000-12-08","3.4","Brodersen, D.E., Clemons Jr., W.M., Carter, A.P., Morgan-Warren, R.J., Wimberly, B.T., Ramakrishnan, V.","The structural basis for the action of the antibiotics tetracycline, pactamycin, and hygromycin B on the 30S ribosomal subunit.",2000,"STRUCTURE OF THE THERMUS THERMOPHILUS 30S RIBOSOMAL SUBUNIT IN COMPLEX WITH TETRACYCLINE",,"Thermus thermophilus",4068,
,"Clemons Jr., W.M.",,,,,,,,"Thermus thermophilus",,
,"Carter, A.P.",,,,,,,,"Thermus thermophilus",,
,"Morgan-Warren, R.",,,,,,,,"Thermus thermophilus",,
,"Wimberly, B.T.",,,,,,,,"Thermus thermophilus",,
,"Ramakrishnan, V.",,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
"1HNX","Brodersen, D.E.","2000-12-08","3.4","Brodersen, D.E., Clemons Jr., W.M., Carter, A.P., Morgan-Warren, R.J., Wimberly, B.T., Ramakrishnan, V.","The structural basis for the action of the antibiotics tetracycline, pactamycin, and hygromycin B on the 30S ribosomal subunit.",2000,"STRUCTURE OF THE THERMUS THERMOPHILUS 30S RIBOSOMAL SUBUNIT IN COMPLEX WITH PACTAMYCIN",,"Thermus thermophilus",4068,
,"Clemons Jr., W.M.",,,,,,,,"Thermus thermophilus",,
,"Carter, A.P.",,,,,,,,"Thermus thermophilus",,
,"Morgan-Warren, R.",,,,,,,,"Thermus thermophilus",,
,"Wimberly, B.T.",,,,,,,,"Thermus thermophilus",,
,"Ramakrishnan, V.",,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
"1HNZ","Brodersen, D.E.","2000-12-08","3.3","Brodersen, D.E., Clemons Jr., W.M., Carter, A.P., Morgan-Warren, R.J., Wimberly, B.T., Ramakrishnan, V.","The structural basis for the action of the antibiotics tetracycline, pactamycin, and hygromycin B on the 30S ribosomal subunit.",2000,"STRUCTURE OF THE THERMUS THERMOPHILUS 30S RIBOSOMAL SUBUNIT IN COMPLEX WITH HYGROMYCIN B",,"Thermus thermophilus",4068,
,"Clemons Jr., W.M.",,,,,,,,"Thermus thermophilus",,
,"Carter, A.P.",,,,,,,,"Thermus thermophilus",,
,"Morgan-Warren, R.",,,,,,,,"Thermus thermophilus",,
,"Wimberly, B.T.",,,,,,,,"Thermus thermophilus",,
,"Ramakrishnan, V.",,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
"1HR0","Carter, A.P.","2000-12-20","3.2","Carter, A.P., Clemons Jr., W.M., Brodersen, D.E., Morgan-Warren, R.J., Hartsch, T., Wimberly, B.T., Ramakrishnan, V.","Crystal structure of an initiation factor bound to the 30S ribosomal subunit.",2001,"CRYSTAL STRUCTURE OF INITIATION FACTOR IF1 BOUND TO THE 30S RIBOSOMAL SUBUNIT",,"Thermus thermophilus",4139,
,"Clemons Jr., W.M.",,,,,,,,"Thermus thermophilus",,
,"Brodersen, D.E.",,,,,,,,"Thermus thermophilus",,
,"Morgan-Warren, R.J.",,,,,,,,"Thermus thermophilus",,
,"Wimberly, B.T.",,,,,,,,"Thermus thermophilus",,
,"Ramakrishnan, V.",,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,"Escherichia coli","Escherichia coli",,
"1I94","Pioletti, M.","2001-03-18","3.2","Pioletti, M., Schlunzen, F., Harms, J., Zarivach, R., Gluhmann, M., Avila, H., Bashan, A., Bartels, H., Auerbach, T., Jacobi, C., Hartsch, T., Yonath, A., Franceschi, F.","Crystal structures of complexes of the small ribosomal subunit with tetracycline, edeine and IF3.",2001,"CRYSTAL STRUCTURES OF THE SMALL RIBOSOMAL SUBUNIT WITH TETRACYCLINE, EDEINE AND IF3",,"Thermus thermophilus",4036,
,"Schluenzen, F.",,,,,,,,"Thermus thermophilus",,
,"Harms, J.",,,,,,,,"Thermus thermophilus",,
,"Zarivach, R.",,,,,,,,"Thermus thermophilus",,
,"Gluehmann, M.",,,,,,,,"Thermus thermophilus",,
,"Avila, H.",,,,,,,,"Thermus thermophilus",,
,"Bartels, H.",,,,,,,,"Thermus thermophilus",,
,"Jacobi, C.",,,,,,,,"Thermus thermophilus",,
,"Hartsch, T.",,,,,,,,"Thermus thermophilus",,
,"Yonath, A.",,,,,,,,"Thermus thermophilus",,
,"Franceschi, F.",,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
"1I95","Pioletti, M.","2001-03-18","4.5","Pioletti, M., Schlunzen, F., Harms, J., Zarivach, R., Gluhmann, M., Avila, H., Bashan, A., Bartels, H., Auerbach, T., Jacobi, C., Hartsch, T., Yonath, A., Franceschi, F.","Crystal structures of complexes of the small ribosomal subunit with tetracycline, edeine and IF3.",2001,"CRYSTAL STRUCTURE OF THE 30S RIBOSOMAL SUBUNIT FROM THERMUS THERMOPHILUS IN COMPLEX WITH EDEINE",,"Thermus thermophilus",4036,
,"Schluenzen, F.",,,,,,,,"Thermus thermophilus",,
,"Harms, J.",,,,,,,,"Thermus thermophilus",,
,"Zarivach, R.",,,,,,,,"Thermus thermophilus",,
,"Gluehmann, M.",,,,,,,,"Thermus thermophilus",,
,"Avila, H.",,,,,,,,"Thermus thermophilus",,
,"Bartels, H.",,,,,,,,"Thermus thermophilus",,
,"Jacobi, C.",,,,,,,,"Thermus thermophilus",,
,"Hartsch, T.",,,,,,,,"Thermus thermophilus",,
,"Yonath, A.",,,,,,,,"Thermus thermophilus",,
,"Franceschi, F.",,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
"1I96","Pioletti, M.","2001-03-18","4.2","Pioletti, M., Schlunzen, F., Harms, J., Zarivach, R., Gluhmann, M., Avila, H., Bashan, A., Bartels, H., Auerbach, T., Jacobi, C., Hartsch, T., Yonath, A., Franceschi, F.","Crystal structures of complexes of the small ribosomal subunit with tetracycline, edeine and IF3.",2001,"CRYSTAL STRUCTURE OF THE 30S RIBOSOMAL SUBUNIT FROM THERMUS THERMOPHILUS IN COMPLEX WITH THE TRANSLATION INITIATION FACTOR IF3 (C-TERMINAL DOMAIN)",,"Thermus thermophilus",4125,
,"Schluenzen, F.",,,,,,,,"Thermus thermophilus",,
,"Harms, J.",,,,,,,,"Thermus thermophilus",,
,"Zarivach, R.",,,,,,,,"Thermus thermophilus",,
,"Gluehmann, M.",,,,,,,,"Thermus thermophilus",,
,"Avila, H.",,,,,,,,"Thermus thermophilus",,
,"Bartels, H.",,,,,,,,"Thermus thermophilus",,
,"Jacobi, C.",,,,,,,,"Thermus thermophilus",,
,"Hartsch, T.",,,,,,,,"Thermus thermophilus",,
,"Yonath, A.",,,,,,,,"Thermus thermophilus",,
,"Franceschi, F.",,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
"1I97","Pioletti, M.","2001-03-18","4.5","Pioletti, M., Schlunzen, F., Harms, J., Zarivach, R., Gluhmann, M., Avila, H., Bashan, A., Bartels, H., Auerbach, T., Jacobi, C., Hartsch, T., Yonath, A., Franceschi, F.","Crystal structures of complexes of the small ribosomal subunit with tetracycline, edeine and IF3.",2001,"CRYSTAL STRUCTURE OF THE 30S RIBOSOMAL SUBUNIT FROM THERMUS THERMOPHILUS IN COMPLEX WITH TETRACYCLINE",,"Thermus thermophilus",4036,
,"Schluenzen, F.",,,,,,,,"Thermus thermophilus",,
,"Harms, J.",,,,,,,,"Thermus thermophilus",,
,"Zarivach, R.",,,,,,,,"Thermus thermophilus",,
,"Gluehmann, M.",,,,,,,,"Thermus thermophilus",,
,"Avila, H.",,,,,,,,"Thermus thermophilus",,
,"Bartels, H.",,,,,,,,"Thermus thermophilus",,
,"Jacobi, C.",,,,,,,,"Thermus thermophilus",,
,"Hartsch, T.",,,,,,,,"Thermus thermophilus",,
,"Yonath, A.",,,,,,,,"Thermus thermophilus",,
,"Franceschi, F.",,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
"1IBK","Ogle, J.M.","2001-03-28","3.31","Ogle, J.M., Brodersen, D.E., Clemons Jr., W.M., Tarry, M.J., Carter, A.P., Ramakrishnan, V.","Recognition of cognate transfer RNA by the 30S ribosomal subunit.",2001,"STRUCTURE OF THE THERMUS THERMOPHILUS 30S RIBOSOMAL SUBUNIT IN COMPLEX WITH THE ANTIBIOTIC PAROMOMYCIN",,"Thermus thermophilus",4068,
,"Brodersen, D.E.",,,,,,,,"Thermus thermophilus",,
,"Clemons Jr., W.M.",,,,,,,,"Thermus thermophilus",,
,"Tarry, M.J.",,,,,,,,"Thermus thermophilus",,
,"Carter, A.P.",,,,,,,,"Thermus thermophilus",,
,"Ramakrishnan, V.",,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
"1IBL","Ogle, J.M.","2001-03-28","3.11","Ogle, J.M., Brodersen, D.E., Clemons Jr., W.M., Tarry, M.J., Carter, A.P., Ramakrishnan, V.","Recognition of cognate transfer RNA by the 30S ribosomal subunit.",2001,"STRUCTURE OF THE THERMUS THERMOPHILUS 30S RIBOSOMAL SUBUNIT IN COMPLEX WITH A MESSENGER RNA FRAGMENT AND COGNATE TRANSFER RNA ANTICODON STEM-LOOP BOUND AT THE A SITE AND WITH THE ANTIBIOTIC PAROMOMYCIN",,"Thermus thermophilus",4087,
,"Brodersen, D.E.",,,,,,,,,,
,"Clemons Jr., W.M.",,,,,,,,,,
,"Tarry, M.J.",,,,,,,,,,
,"Carter, A.P.",,,,,,,,"Thermus thermophilus",,
,"Ramakrishnan, V.",,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
"1IBM","Ogle, J.M.","2001-03-28","3.31","Ogle, J.M., Brodersen, D.E., Clemons Jr., W.M., Tarry, M.J., Carter, A.P., Ramakrishnan, V.","Recognition of cognate transfer RNA by the 30S ribosomal subunit.",2001,"STRUCTURE OF THE THERMUS THERMOPHILUS 30S RIBOSOMAL SUBUNIT IN COMPLEX WITH A MESSENGER RNA FRAGMENT AND COGNATE TRANSFER RNA ANTICODON STEM-LOOP BOUND AT THE A SITE",,"Thermus thermophilus",4087,
,"Brodersen, D.E.",,,,,,,,,,
,"Clemons Jr., W.M.",,,,,,,,,,
,"Tarry, M.J.",,,,,,,,,,
,"Carter, A.P.",,,,,,,,"Thermus thermophilus",,
,"Ramakrishnan, V.",,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
"1J5A","Schluenzen, F.","2002-03-06","3.5","Schlunzen, F., Zarivach, R., Harms, J., Bashan, A., Tocilj, A., Albrecht, R., Yonath, A., Franceschi, F.","Structural basis for the interaction of antibiotics with the peptidyl transferase centre in eubacteria.",2001,"STRUCTURAL BASIS FOR THE INTERACTION OF ANTIBIOTICS WITH THE PEPTIDYL TRANSFERASE CENTER IN EUBACTERIA",,"Deinococcus radiodurans",3279,
,"Zarivach, R.",,,,,,,,"Deinococcus radiodurans",,
,"Harms, J.",,,,,,,,"Deinococcus radiodurans",,
,"Bashan, A.",,,,,,,,"Deinococcus radiodurans",,
,"Tocilj, A.",,,,,,,,,,
,"Albrecht, R.",,,,,,,,,,
,"Yonath, A.",,,,,,,,,,
,"Franceschi, F.",,,,,,,,,,
"1J5E","Wimberly, B.T.","2002-04-08","3.05","Wimberly, B.T., Brodersen, D.E., Clemons Jr., W.M., Morgan-Warren, R.J., Carter, A.P., Vonrhein, C., Hartsch, T., Ramakrishnan, V.","Structure of the 30S ribosomal subunit.",2000,"Structure of the Thermus thermophilus 30S Ribosomal Subunit",,"Thermus thermophilus",4054,
,"Brodersen, D.E.",,,,,,,,"Thermus thermophilus",,
,"Clemons Jr., W.M.",,,,,,,,"Thermus thermophilus",,
,"Morgan-Warren, R.",,,,,,,,"Thermus thermophilus",,
,"Carter, A.P.",,,,,,,,"Thermus thermophilus",,
,"Vonrhein, C.",,,,,,,,"Thermus thermophilus",,
,"Hartsch, T.",,,,,,,,"Thermus thermophilus",,
,"Ramakrishnan, V.",,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
"1JGO","Yusupova, G.Z.","2001-06-26","5.6","Yusupova, G.Z., Yusupov, M.M., Cate, J.H., Noller, H.F.","The path of messenger RNA through the ribosome.",2001,"The Path of Messenger RNA Through the Ribosome. THIS FILE, 1JGO, CONTAINS THE 30S RIBOSOME SUBUNIT, THREE TRNA, AND MRNA MOLECULES. 50S RIBOSOME SUBUNIT IS IN THE FILE 1GIY",,"Thermus thermophilus",4318,
,"Yusupov, M.M.",,,,,,,,,,
,"Cate, J.H.D.",,,,,,,,,,
,"Noller, H.F.",,,,,,,,,,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
,,,,,,,,,"Thermus thermophilus",,
