description,ids
A-site and E-site tRNAs,300852
mRNA,300852
mRNA,300852
A-site and E-site tRNAs,300852
Eukaryotic translation initiation factor 5A-1,559292
mt-tRNAVal,9606
mt-tRNA,9606
mt-tRNA,9606
mt-tRNA,9606
mRNA,9606
P-site Phe-tRNA(Phe),"9986,2697049"
E-site tRNA,"9986,2697049"
mRNA containing SARS-CoV-2 sequence,"9986,2697049"
A/P-site tRNA,4932
mRNA,4932
P/E-site tRNA,4932
messenger RNA,300852
messenger RNA,300852
P-site tRNA fMet,300852
tRNA acceptor end mimic,300852
P-site tRNA fMet,300852
tRNA acceptor end mimic,300852
Eukaryotic translation initiation factor 6,4932
Cytoplasmic 60S subunit biogenesis factor REH1,4932
P-site tRNA,"83333,562,83334"
mRNA,"83333,562,83334"
deacylated A/R-tRNA,"83333,562,83334"
tRNA,83333
tRNA,83333
mRNA,83333
Elongation factor 2,559292
Transfer RNA - Phe,559292
Messenger RNA,559292
Eukaryotic translation initiation factor 2 subunit 1,9606
Eukaryotic translation initiation factor 3 subunit K,9606
Eukaryotic translation initiation factor 3 subunit D,9606
"Eukaryotic translation initiation factor 3 subunit C,Eukaryotic translation initiation factor 3 subunit C,Eukaryotic translation initiation factor 3 subunit C",9606
Eukaryotic translation initiation factor 3 subunit H,9606
Eukaryotic translation initiation factor 3 subunit F,9606
Eukaryotic translation initiation factor 3 subunit B,9606
Eukaryotic translation initiation factor 1,9606
"Eukaryotic translation initiation factor 1A, X-chromosomal",9606
Eukaryotic translation initiation factor 3 subunit L,9606
Eukaryotic translation initiation factor 3 subunit E,9606
Eukaryotic translation initiation factor 3 subunit I,9606
Eukaryotic translation initiation factor 3 subunit A,9606
Eukaryotic translation initiation factor 2 subunit 3,9606
Eukaryotic translation initiation factor 2 subunit 2,9606
Eukaryotic translation initiation factor 3 subunit M,9606
tRNA,9606
Eukaryotic translation initiation factor 6,9606
Dityromycin,"300852,469008,1931"
Dityromycin,"300852,469008,1931"
P-site tRNA,"300852,469008,1931"
mRNA,"300852,469008,1931"
P-site tRNA,"300852,469008,1931"
P-site tRNA,"300852,469008,1931"
P-site tRNA,"300852,469008,1931"
mRNA,"300852,469008,1931"
mRNA fragment,246196
P/P-site Phe-tRNA(Phe),246196
Elongation factor G,"83333,866768"
mRNA,"83333,866768"
tRNAPro,"83333,866768"
tRNAfMet,"83333,866768"
"Transcription termination factor 4, mitochondrial",9606
mitochondrial tRNAVal,9606
mRNA,"9986,9606,562"
P-site tRNA,"9986,9606,562"
Peptide chain release factor 1,562
mRNA,562
P-tRNA,562
E-site tRNA,9606
mt-tRNAVal,9606
Eukaryotic translation initiation factor 6,9606
E-site and P-site tRNA (fMet),562
E-site and P-site tRNA (fMet),562
mRNA with 30 nt long spacer,562
P-site tRNA,562
tmRNA,562
mRNA,300852
tRNA-Lys,300852
tRNA-Lys,300852
tRNA-Lys,300852
tRNA-fMet,300852
tRNA-Lys,300852
tRNA-fMet,300852
mRNA,300852
tRNAfMet,562
tRNAPhe,562
tRNAfMet,562
mRNA,562
tRNA-CCA,562
Peptide chain release factor 2,"83333,562"
Alternative ribosome-rescue factor A,"83333,562"
P-site or E-site fMet-tRNA(fMet),"83333,562"
mRNA,"83333,562"
P-site or E-site fMet-tRNA(fMet),"83333,562"
mRNA,"83333,469008"
tRNAfMet,"83333,469008"
"Ribosome-recycling factor, mitochondrial",9606
"Ribosome-releasing factor 2, mitochondrial",9606
tRNAval,9606
mRNA A-site fragment,300852
tRNA ASL Escherichia coli Arg2,300852
Transfer RNA,4932
Transfer RNA,4932
"Midasin,Midasin","759272,562,469008"
"Midasin,Midasin","759272,562,469008"
mRNA,300852
tRNA-Tyr,300852
tRNA-Tyr,300852
tRNA-Tyr,300852
mRNA,300852
tRNA-Tyr,300852
messenger RNA,300852
messenger RNA,300852
P-site tRNA fMet,300852
P-site tRNA fMet,300852
P-tRNA,"9986,9606,562"
tRNA,262724
tRNA,262724
tRNA,262724
mRNA,262724
mRNA,262724
tRNA,262724
Ribosome assembly factor MRT4,559292
Eukaryotic translation initiation factor 6,559292
mitochondrial Val tRNA,9606
mitochondrial tRNA,9606
tRNA,9606
tRNA,9606
mRNA,9606
tRNA-Phe,5661
mRNA,5661
E-site tRNA,5661
P-site tRNA,5661
Mitochondrial tRNAVal,9606
Val tRNA,9986
tRNAThr,300852
tRNAThr,300852
mRNA,300852
tRNAThr,300852
tRNAfMet,300852
tRNAThr,300852
mRNA,300852
tRNAfMet,300852
P-site tRNA,"83333,1351"
mRNA,"83333,1351"
Eukaryotic translation initiation factor 3 subunit L,9986
Eukaryotic translation initiation factor 3 subunit M,9986
Eukaryotic translation initiation factor 3 subunit E,9986
Eukaryotic translation initiation factor 3 subunit H,9986
Eukaryotic translation initiation factor 3 subunit A,9986
Eukaryotic translation initiation factor 3 subunit K,9986
Eukaryotic translation initiation factor 3 subunit F,9986
Eukaryotic translation initiation factor 3 subunit D,9986
Eukaryotic translation initiation factor 3 subunit C,9986
Elongation factor Tu 2,562
tRNA-fMet,562
mRNA,562
Phe-tRNA-Phe,562
tRNA-fMet,562
eukaryotic elongation factor 2 (eEF2),9986
mRNA,9986
pe/E-site-tRNA,9986
ap/P-site tRNA,9986
Midasin,"759272,469008"
Metalnikowin-1,"300852,55431"
Metalnikowin-1,"300852,55431"
mRNA,"300852,55431"
P-site tRNA,"300852,55431"
mRNA,"300852,55431"
P-site tRNA,"300852,55431"
mRNA,"300852,469008"
mRNA,"300852,469008"
P-site tRNA,"300852,469008"
P-site tRNA,"300852,469008"
tRNALys,"300852,274"
E. coli tRNAfMet,"300852,274"
E. coli tRNAfMet,"300852,274"
mRNA,"300852,274"
mRNA,"300852,274"
tRNALys,"300852,274"
tRNALys,"300852,274"
tRNALys,"300852,274"
Eukaryotic translation initiation factor 6,559292
Ribosome assembly factor MRT4,559292
mRNA,300852
mRNA,300852
tRNA-Leu,300852
tRNA-Leu,300852
tRNA-Leu,300852
tRNA-Leu,300852
tRNA-Leu,300852
tRNA-Leu,300852
P-site tRNAfMet,300852
E-site tRNAAla(GGC),300852
P-site tRNAfMet,300852
A-site tRNAAla(GGC),300852
E-site tRNAAla(GGC),300852
A-site tRNAAla(GGC),300852
mRNA,300852
mRNA,300852
mRNA,300852
mRNA,300852
P-site tRNA,300852
P-site tRNA,300852
E-site tRNA,"9986,2697049"
mRNA containing SARS-CoV-2 sequence,"9986,2697049"
P-site Phe-tRNA(Phe),"9986,2697049"
A-site and E-site tRNAs,300852
P-site tRNA,300852
mRNA,300852
A-site and E-site tRNAs,300852
A-site and E-site tRNAs,300852
A-site and E-site tRNAs,300852
mRNA,300852
P-site tRNA,300852
Toxin YoeB,"300852,562,469008"
Toxin YoeB,"300852,562,469008"
capreomycin IA,"300852,67351"
capreomycin IA,"300852,67351"
tRNA-Gln,"300852,67351"
tRNA-Met,"300852,67351"
tRNA-Gln,"300852,67351"
tRNA-Gln,"300852,67351"
tRNA-Gln,"300852,67351"
tRNA(Lys),"9986,9606,469008"
mRNA,"9986,9606,469008"
tRNA(Val),"9986,9606,469008"
P site tRNAfmet,"83333,511693"
E-site tRNAfMet,"83333,511693"
mRNA,"83333,511693"
mRNA,"83333,469008"
tRNAfMet,"83333,469008"
Cytoplasmic 60S subunit biogenesis factor REH1,4932
Eukaryotic translation initiation factor 6,4932
P-tRNA CCA-end,"83333,1280"
Elongation factor Tu,562
tRNAPhe,562
tRNAfMet,562
tRNAfMet,562
mRNA,562
elongation factor G,"83333,562,1883"
elongation factor G,"83333,562,1883"
elongation factor G,"83333,562,1883"
elongation factor G,"83333,562,1883"
Viomycin,"83333,562,1883"
Viomycin,"83333,562,1883"
Viomycin,"83333,562,1883"
Elongation factor P,562
Proline tRNA,562
mRNA,562
Proline tRNA,562
tRNA,4932
mRNA,300852
E. coli tRNAfMet,300852
E. coli tRNAfMet,300852
E. coli tRNAfMet,300852
mRNA,300852
E. coli tRNAfMet,300852
E. coli tRNAfMet,300852
A-SITE TRNA G24A TRP-TRNA TRP,300852
A-SITE TRNA G24A TRP-TRNA TRP,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE,300852
MRNA,300852
MRNA,300852
P-site tRNA fMet,300852
tRNA acceptor end mimic,300852
P-site tRNA fMet,300852
messenger RNA,300852
messenger RNA,300852
tRNA acceptor end mimic,300852
"Transcription termination factor 4, mitochondrial",9606
"Elongation factor Tu, mitochondrial",9606
MT-TRNAVAL,9606
E-site tRNA,"9986,9606,469008"
mRNA (truncated),"9986,9606,469008"
P-site tRNA,"9986,9606,469008"
ELONGATION FACTOR TU,300852
ELONGATION FACTOR TU,300852
MRNA,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE,300852
MRNA,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE,300852
A-SITE TRNA G24A TRP-TRNA TRP,300852
A-SITE TRNA G24A TRP-TRNA TRP,300852
nonstop mRNA,"4932,562"
yeast Phe-tRNA-Phe,"4932,562"
Peptide chain release factor 2,"83333,300852"
Peptide chain release factor 2,"83333,300852"
P-site tRNA fMet,"83333,300852"
P-site tRNA fMet,"83333,300852"
messenger RNA,"83333,300852"
messenger RNA,"83333,300852"
Elongation factor G,"262724,300852,274"
Elongation factor G,"262724,300852,274"
tRNA,"262724,300852,274"
tRNA,"262724,300852,274"
mRNA,"262724,300852,274"
tRNA,"262724,300852,274"
tRNA,"262724,300852,274"
mRNA,"262724,300852,274"
P-SITE TRNA FMET (UNMODIFIED BASES EXCEPT FOR THYMINE 54),300852
MRNA,300852
E-SITE TRNA PHE OR A-SITE TRNA PHE (UNMODIFIED BASES),300852
MRNA,300852
E-SITE TRNA PHE OR A-SITE TRNA PHE (UNMODIFIED BASES),300852
E-SITE TRNA PHE OR A-SITE TRNA PHE (UNMODIFIED BASES),300852
E-SITE TRNA PHE OR A-SITE TRNA PHE (UNMODIFIED BASES),300852
P-SITE TRNA FMET (UNMODIFIED BASES EXCEPT FOR THYMINE 54),300852
aminoacyl-tRNA fragment ACCPmn,4932
aminoacyl-tRNA fragment ACCPmn,4932
mRNA,300852
E-site tRNA,300852
mRNA,300852
A-site tRNA,300852
P-site tRNA,300852
A-site tRNA,300852
P-site tRNA,300852
E-site tRNA,300852
messenger RNA,"300852,262724"
P-site tRNA fMet,"300852,262724"
messenger RNA,"300852,262724"
tRNA acceptor end mimic,"300852,262724"
tRNA acceptor end mimic,"300852,262724"
P-site tRNA fMet,"300852,262724"
mRNA,562
E-site tRNA,562
P-site tRNA-fMet,562
A-site tRNA-val,562
mRNA,9986
A/P-Site tRNA,9986
P/E-Site tRNA,9986
mRNA,"562,1351,511693"
P-site fMet-tRNAfMet,"562,1351,511693"
Cadherin-1,9606
mRNA,9606
tRNA,9606
Selenocysteine-specific elongation factor,562
fMet-tRNAfMet,562
Sec-tRNASec,562
CCA 3' end of E-site tRNASec (low occupancy),562
SECIS mRNA,562
tRNA(gly),562
mRNA,562
Cytoplasmic 60S subunit biogenesis factor REH1,559292
Eukaryotic translation initiation factor 6,559292
Peptide chain release factor RF2,83333
Alternative ribosome-rescue factor A,83333
tRNA,83333
mRNA,83333
Peptide chain release factor RF3,"562,7460"
Apidaecin,"562,7460"
Peptide chain release factor RF1,"562,7460"
fMet-tRNA,"562,7460"
mRNA,"562,7460"
mRNA,562
tRNAfMet,562
tRNAfMet,562
tRNAPhe,562
tRNA Val,9606
Neuroguidin,9606
DDB1- and CUL4-associated factor 13,9606
Bystin,9606
Elongation factor G,83333
mRNA,83333
tRNA,83333
tRNA,83333
mRNA,"83333,469008"
tRNAfMet,"83333,469008"
tRNAfMet,83333
tRNAfMet,83333
tRNAPhe,83333
mRNA,83333
Peptide chain release factor 1,"262724,562"
Peptide chain release factor 1,"262724,562"
Peptide chain release factor 1,"262724,562"
Peptide chain release factor 1,"262724,562"
mRNA,"262724,562"
tRNA,"262724,562"
tRNA,"262724,562"
tRNA,"262724,562"
tRNA,"262724,562"
mRNA,"262724,562"
mRNA,"300852,83333,562"
mRNA,"300852,83333,562"
P-site fMet-tRNA,"300852,83333,562"
P-site fMet-tRNA,"300852,83333,562"
mRNA with 18 nt long spacer,562
E-site and P-site tRNA (fMet),562
E-site and P-site tRNA (fMet),562
mRNA,83333
glycine-tRNA,83333
A-site and E-site tRNAs,300852
P-site tRNA,300852
A-site and E-site tRNAs,300852
A-site and E-site tRNAs,300852
A-site and E-site tRNAs,300852
mRNA,300852
P-site tRNA,300852
mRNA,300852
P-tRNA,"9606,9986"
E-tRNA,"9606,9986"
mRNA,"9606,9986"
Elongation factor G,562
E-tRNA,562
P-tRNA,562
P-tRNAfMet,246196
mRNA,9606
tRNA,9606
Quinupristin,"83333,300852,32630"
Quinupristin,"83333,300852,32630"
Elongation factor Tu,562
tRNAfMet,562
mRNA,562
tRNAPhe,562
tRNAfMet,562
P-site tRNAfMet,300852
mRNA,300852
P-site tRNAfMet,300852
tRNA acceptor end mimic,300852
tRNA acceptor end mimic,300852
mRNA,300852
Apidaecin,562
Peptide chain release factor RF1,562
Peptide chain release factor RF3,562
mRNA,562
fMet-tRNA,562
"Ribosome-recycling factor, chloroplastic",3562
"Ribosome-binding factor PSRP1, chloroplastic",3562
Elongation factor Tu 2,562
mRNA,562
P-site fMet-tRNAfMet,562
P-site fMet-tRNAfMet,562
A/T-site Phe-tRNAPhe,562
ELONGATION FACTOR G,300852
ELONGATION FACTOR G,300852
E-SITE TRNA FMET OR P-SITE TRNA FMET (UNMODIFIED BASES EXCEPT FOR THYMINE 54),300852
MRNA,300852
E-SITE TRNA FMET OR P-SITE TRNA FMET (UNMODIFIED BASES EXCEPT FOR THYMINE 54),300852
E-SITE TRNA FMET OR P-SITE TRNA FMET (UNMODIFIED BASES EXCEPT FOR THYMINE 54),300852
MRNA,300852
E-SITE TRNA FMET OR P-SITE TRNA FMET (UNMODIFIED BASES EXCEPT FOR THYMINE 54),300852
Ribosome hibernation promoting factor,83333
E-site tRNA,83333
tRNA-met,"1217649,480119,1310637,1144663,1310678,52133,1144670,1217710,470,421052,1977881,1960940"
mRNA,"1217649,480119,1310637,1144663,1310678,52133,1144670,1217710,470,421052,1977881,1960940"
tRNA-fMet,"300852,32630"
mRNA,"300852,32630"
tRNA-fMet,"300852,32630"
E-Site tRNA-Phe or A-Site tRNA-Phe,"300852,32630"
E-Site tRNA-Phe or A-Site tRNA-Phe,"300852,32630"
mRNA,"300852,32630"
E-Site tRNA-Phe or A-Site tRNA-Phe,"300852,32630"
E-Site tRNA-Phe or A-Site tRNA-Phe,"300852,32630"
tRNAfMet,"83333,469008"
mRNA,"83333,469008"
P-site tRNA-fMet,"300852,585,562"
CC-puromycin,"300852,585,562"
CC-puromycin,"300852,585,562"
messenger RNA,"300852,585,562"
P-site tRNA-fMet,"300852,585,562"
messenger RNA,"300852,585,562"
P-tRNA fMet,"1283,93061"
glycine-tRNA glyT,"469008,9913"
Gamma-crystallin B,"469008,9913"
Elongation factor 1-alpha 1,9986
mRNA,9986
tRNA,9986
tRNA,9986
E-site tRNA,9986
Eukaryotic translation initiation factor 6,9606
P-tRNA(Leu),"224308,469008"
mRNA,"224308,469008"
VIRGINIAMYCIN S1,"562,1961"
Elongation factor Tu 2,"83333,562"
Phe-tRNA-Phe,"83333,562"
mRNA,"83333,562"
tRNA-fMet,"83333,562"
tRNA-fMet,"83333,562"
Translation initiation factor IF-2,562
messenger RNA,562
tRNA,562
ELONGATION FACTOR G,300852
ELONGATION FACTOR G,300852
MRNA,300852
MRNA,300852
tRNAfMet,300852
tRNAVal,300852
tRNAfMet,300852
tRNAVal,300852
mRNA,300852
mRNA,300852
tRNAVal,300852
tRNAVal,300852
tRNAfMet,83333
mRNA,83333
P-site tRNA,"9986,9606,469008"
mRNA,"9986,9606,469008"
E-site tRNA,"9986,9606,469008"
Viomycin,"300852,67351"
Viomycin,"300852,67351"
tRNA-Gln,"300852,67351"
tRNA-Gln,"300852,67351"
tRNA-Gln,"300852,67351"
tRNA-Met,"300852,67351"
tRNA-Met,"300852,67351"
tRNA-Gln,"300852,67351"
P-site tRNA,"300852,469008"
P-site tRNA,"300852,469008"
P-site tRNA,"300852,469008"
mRNA,"300852,469008"
mRNA,"300852,469008"
P-site tRNA,"300852,469008"
PEPTIDE CHAIN RELEASE FACTOR 2,300852
PEPTIDE CHAIN RELEASE FACTOR 2,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE (UNMODIFIED BASES),300852
E-SITE TRNA PHE OR P-SITE TRNA PHE (UNMODIFIED BASES),300852
E-SITE TRNA PHE OR P-SITE TRNA PHE (UNMODIFIED BASES),300852
E-SITE TRNA PHE OR P-SITE TRNA PHE (UNMODIFIED BASES),300852
MRNA,300852
MRNA,300852
Elongation factor G,83333
tRNA,83333
mitochondrial Val tRNA,9606
mitochondrial tRNA,9606
mRNA,300852
A/P-site tRNA,300852
A/P-site tRNA,300852
mRNA,300852
E-site tRNA,300852
A/P-site tRNA,300852
A/P-site tRNA,300852
E-site tRNA,300852
ELONGATION FACTOR TU,300852
ELONGATION FACTOR TU,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE,300852
MRNA,300852
MRNA,300852
A-SITE TRNA TRP-TRNA TRP,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE,300852
A-SITE TRNA TRP-TRNA TRP,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE,300852
Ribosome maturation factor RimP,562
Ribosome production factor 1,559292
Peptide chain release factor 1,262724
Peptide chain release factor 1,262724
A tRNA,"262724,274"
mRNA,"262724,274"
P-tRNA,"262724,274"
P-tRNA,"262724,274"
mRNA,"262724,274"
Elongation factor G,"83333,562,1883"
Viomycin,"83333,562,1883"
Viomycin,"83333,562,1883"
Elongation factor G,"83333,562,1883"
Viomycin,"83333,562,1883"
Viomycin,"83333,562,1883"
Elongation factor G,"83333,562,1883"
Elongation factor G,"83333,562,1883"
mRNA A-site fragment,300852
tRNA ASL Escherichia coli Arg2,300852
Elongation factor 2,9606
tRNA,9606
P-site tRNA,83333
mRNA,83333
E-site tRNA Phe,300852
P-site tRNA fMet,300852
messenger RNA,300852
Cytoplasmic 60S subunit biogenesis factor REH1,4932
Eukaryotic translation initiation factor 6,4932
Ribosome assembly factor MRT4,559292
Eukaryotic translation initiation factor 6,559292
Ribosome hibernation promoting factor,"246196,1772"
tRNA-fMet,"300852,274"
mRNA,"300852,274"
tRNA-fMet,"300852,274"
mRNA,"300852,274"
tRNA-Phe,"300852,274"
tRNA-fMet,"300852,274"
tRNA-Phe,"300852,274"
Peptidyl-tRNA analog ACCA-Leu-Phe,4932
Peptidyl-tRNA analog ACCA-Leu-Phe,4932
Messenger RNA,4932
Transfer RNA - Phe,4932
P-site tRNA fMet,300852
P-site tRNA fMet,300852
messenger RNA,300852
messenger RNA,300852
mRNA,300852
mRNA,300852
Eukaryotic translation initiation factor 5A-1,559292
A-site tRNA,559292
mRNA,559292
P-site tRNA,559292
MRNA 5'-R(*AP*AP*AP*AP*AP*AP*UP*GP*UP)-3',"300852,316385"
PE HYBRID STATE TRNA FMET,"300852,316385"
tRNA fMet,300852
messenger RNA,300852
tRNA fMet,300852
messenger RNA,300852
Messenger RNA,83333
Messenger RNA,83333
Valine-specific transfer RNA,83333
Valine-specific transfer RNA,83333
Valine-specific transfer RNA,83333
Valine-specific transfer RNA,83333
Valine-specific transfer RNA,83333
mRNA fragment,246196
tRNA-Phe anticodon stem,246196
A/P tRNA,9823
Messenger RNA,9823
P/E tRNA,9823
tRNA (Lys3),9986
polyA mRNA,9986
tRNA (Lys3),9986
Elongation factor Tu 2,83333
tRNAfMet,83333
tRNAfMet,83333
mRNA,83333
tRNAPhe,83333
Translation initiation factor RLI1,4932
Elongation factor Tu 2,562
tRNA-fMet,562
tRNA-fMet,562
mRNA,562
Phe-tRNA-Phe,562
mRNA,"300852,7536"
tRNA met,"300852,7536"
mRNA,"300852,7536"
tRNA met,"300852,7536"
Elongation factor Tu,562
tRNAfMet,562
tRNAPhe,562
mRNA,562
tRNAfMet,562
Elongation factor Tu,562
tRNAfMet,562
mRNA,562
tRNAfMet,562
tRNAPhe,562
Bystin,9606
DDB1- and CUL4-associated factor 13,9606
Cytoplasmic 60S subunit biogenesis factor REI1,4932
Eukaryotic translation initiation factor 6,4932
Peptide chain release factor 1,"262724,562"
Peptide chain release factor 1,"262724,562"
mRNA,"262724,562"
tRNA,"262724,562"
tRNA,"262724,562"
tRNA,"262724,562"
mRNA,"262724,562"
tRNA,"262724,562"
Eukaryotic translation initiation factor 3 subunit H,9986
Eukaryotic translation initiation factor 3 subunit A,9986
Eukaryotic translation initiation factor 3 subunit C,9986
Eukaryotic translation initiation factor 3 subunit L,9986
Eukaryotic translation initiation factor 3 subunit F,9986
Eukaryotic translation initiation factor 3 subunit M,9986
Eukaryotic translation initiation factor 3 subunit E,9986
Eukaryotic translation initiation factor 3 subunit K,9986
E-site and P-site tRNA (fMet),562
mRNA with 24 nt long spacer,562
E-site and P-site tRNA (fMet),562
tRNA-Tyr,300852
tRNA-Tyr,300852
mRNA,300852
mRNA,300852
tRNA-Tyr,300852
tRNA-Tyr,300852
P-tRNA,"9986,9606,9615"
messenger RNA,"9986,9606,9615"
E-tRNA,"9986,9606,9615"
Transcription factor BTF3,"9986,9606,562"
Tubulin Beta,"9986,9606,562"
P-site tRNA,"9986,9606,562"
mitochondrial Val tRNA,9606
mRNA,"9986,9606,469008"
tRNA(Lys),"9986,9606,469008"
tRNA(Val),"9986,9606,469008"
mRNA,9606
tRNA,9606
tRNA,9606
Eukaryotic translation initiation factor 2 subunit beta,"284590,4932,469008"
Eukaryotic translation initiation factor 1A,"284590,4932,469008"
Eukaryotic translation initiation factor 5,"284590,4932,469008"
Eukaryotic translation initiation factor 3 subunit B,"284590,4932,469008"
"eIF3c,Eukaryotic translation initiation factor 3 subunit C","284590,4932,469008"
Eukaryotic translation initiation factor 3 subunit I,"284590,4932,469008"
Eukaryotic translation initiation factor 2 subunit alpha,"284590,4932,469008"
Eukaryotic translation initiation factor 3 subunit A,"284590,4932,469008"
Eukaryotic translation initiation factor 3 subunit G,"284590,4932,469008"
Eukaryotic translation initiation factor 2 subunit gamma,"284590,4932,469008"
mRNA (31-MER),"284590,4932,469008"
tRNAi,"284590,4932,469008"
Ribosome hibernation promoting factor,246196
E-tRNAfMet,246196
Elongation factor 4,"300852,469008"
E site tRNA,"300852,469008"
P- site tRNA,"300852,469008"
mitochondrial Val tRNA,9606
messenger RNA,"300852,585,679895"
tRNA fMet,"300852,585,679895"
tRNA fMet,"300852,585,679895"
tRNA fMet,"300852,585,679895"
messenger RNA,"300852,585,679895"
tRNA fMet,"300852,585,679895"
mRNA,83333
tRNA,83333
tRNA,83333
Ribosome assembly factor MRT4,559292
Eukaryotic translation initiation factor 6,559292
domain 3 of PSIC IGR IRES RNA,262724
domain 3 of PSIC IGR IRES RNA,262724
Bystin,9606
P-site tRNA-fMet,300852
P-site tRNA-fMet,300852
messenger RNA,300852
messenger RNA,300852
mRNA (UGA stop codon),"9986,9606,469008"
E-site tRNA,"9986,9606,469008"
P-site tRNA,"9986,9606,469008"
tRNAfMet,562
tRNAfMet,562
tRNAPhe,562
mRNA,562
tRNA CCAend,"562,83333"
tRNAfMet,83333
tRNAPhe,83333
mRNA,83333
tRNAfMet,83333
Eukaryotic translation initiation factor 6,559292
Ribosome assembly factor MRT4,559292
glycine-tRNA glyT,"469008,9913"
Gamma-crystallin B,"469008,9913"
Pyrrhocoricin,"300852,37000"
Pyrrhocoricin,"300852,37000"
P-site tRNA,"300852,37000"
P-site tRNA,"300852,37000"
mRNA,"300852,37000"
mRNA,"300852,37000"
Eukaryotic translation initiation factor 6,"44689,9606,562"
messenger RNA,300852
tRNA acceptor end mimic,300852
messenger RNA,300852
P-site tRNA fMet,300852
tRNA acceptor end mimic,300852
P-site tRNA fMet,300852
Eukaryotic translation initiation factor 6,"759272,469008"
mitochondrial tRNAVal,9606
E-site and A-site tRNA (fMet),562
mRNA with 12 nt long spacer,562
E-site and A-site tRNA (fMet),562
mRNA,9606
P/E tRNA,9606
A/P tRNA,9606
Met-tRNA-iMet,"4932,562"
mRNA,"4932,562"
A-site and E-site tRNAs,300852
A-site and E-site tRNAs,300852
P-site tRNA,300852
A-site and E-site tRNAs,300852
mRNA,300852
P-site tRNA,300852
A-site and E-site tRNAs,300852
mRNA,300852
P-site tRNA,"300852,9913"
mRNA,"300852,9913"
mRNA,"300852,9913"
P-site tRNA,"300852,9913"
tRNA,9606
