"Assembly ID","Deposition Date","PDB ID","DOI","Title",
"5APO-1","2015-09-17","5APO","10.1016/j.cell.2015.11.027","Insertion of the Biogenesis Factor Rei1 Probes the Ribosomal Tunnel during 60S Maturation.",
"4V6Q-1","2011-12-08","4V6Q","10.1073/pnas.1201288109","Structural characterization of mRNA-tRNA translocation intermediates.",
"4V72-1","2013-10-14","4V72","10.1038/nsmb.2690","Energy barriers and driving forces in tRNA translocation through the ribosome.",
"3J2A-1","2012-09-28","3J2A","10.1093/nar/gks1256","Dissecting the in vivo assembly of the 30S ribosomal subunit reveals the role of RimM and general features of the assembly process",
"4V6P-1","2011-12-08","4V6P","10.1073/pnas.1201288109","Structural characterization of mRNA-tRNA translocation intermediates.",
"4V71-1","2013-10-14","4V71","10.1038/nsmb.2690","Energy barriers and driving forces in tRNA translocation through the ribosome.",
"3JCS-1","2016-01-21","3JCS","10.1016/j.celrep.2016.06.014","2.8- angstrom Cryo-EM Structure of the Large Ribosomal Subunit from the Eukaryotic Parasite Leishmania.",
"5U9G-1","2016-12-16","5U9G","10.7554/eLife.23687","Mechanism of ribosome rescue by ArfA and RF2.",
"4V8B-1","2011-12-06","4V8B","10.1038/nature10913","A new understanding of the decoding principle on the ribosome.",
"4V8B-2","2011-12-06","4V8B","10.1038/nature10913","A new understanding of the decoding principle on the ribosome.",
"4V8D-1","2011-12-07","4V8D","10.1038/nature10913","A new understanding of the decoding principle on the ribosome.",
"4V8D-2","2011-12-07","4V8D","10.1038/nature10913","A new understanding of the decoding principle on the ribosome.",
"5NRG-1","2017-04-23","5NRG","10.1093/nar/gkx658","Structural insights of lincosamides targeting the ribosome of Staphylococcus aureus.",
"5APN-1","2015-09-17","5APN","10.1016/J.CELL.2015.11.027","Insertion of the Biogenesis Factor Rei1 Probes the Ribosomal Tunnel during 60S Maturation.",
"5EL6-1","2015-11-04","5EL6","10.1038/ncomms10457","Novel base-pairing interactions at the tRNA wobble position crucial for accurate reading of the genetic code.",
"5EL6-2","2015-11-04","5EL6","10.1038/ncomms10457","Novel base-pairing interactions at the tRNA wobble position crucial for accurate reading of the genetic code.",
"3JAI-1","2015-06-10","3JAI","10.1038/nature14896","Structural basis for stop codon recognition in eukaryotes.",
"1N34-1","2002-10-25","1N34","10.1016/S0092-8674(02)01086-3","Selection of tRNA by the Ribosome Requires a Transition from an Open to a Closed Form",
"5EL5-1","2015-11-04","5EL5","10.1038/ncomms10457","Novel base-pairing interactions at the tRNA wobble position crucial for accurate reading of the genetic code.",
"5EL5-2","2015-11-04","5EL5","10.1038/ncomms10457","Novel base-pairing interactions at the tRNA wobble position crucial for accurate reading of the genetic code.",
"4V4B-1","2004-01-06","4V4B","10.1038/sj.emboj.7600102","Domain movements of elongation factor eEF2 and the eukaryotic 80S ribosome facilitate tRNA translocation.",
"3BBX-1","2007-11-11","3BBX","10.1016/j.jmb.2008.10.079","Recycling of Aborted Ribosomal 50S Subunit-Nascent Chain-tRNA Complexes by the Heat Shock Protein Hsp15.",
"5EL4-1","2015-11-04","5EL4","10.1038/ncomms10457","Novel base-pairing interactions at the tRNA wobble position crucial for accurate reading of the genetic code.",
"5EL4-2","2015-11-04","5EL4","10.1038/ncomms10457","Novel base-pairing interactions at the tRNA wobble position crucial for accurate reading of the genetic code.",
"3G4S-1","2009-02-04","3G4S","10.1016/j.jmb.2009.04.005","U2504 determines the species specificity of the A-site cleft antibiotics: the structures of tiamulin, homoharringtonine, and bruceantin bound to the ribosome.",
"4JI2-1","2013-03-05","4JI2","10.1261/rna.040030.113","The central role of protein S12 in organizing the structure of the decoding site of the ribosome.",
"4V4Q-1","2005-08-30","4V4Q","10.1126/science.1117230","Structures of the bacterial ribosome at 3.5 A resolution.",
"4V52-1","2007-06-15","4V52","10.1038/nsmb1271","Structural basis for aminoglycoside inhibition of bacterial ribosome recycling.",
"4JI3-1","2013-03-05","4JI3","10.1261/rna.040030.113","The central role of protein S12 in organizing the structure of the decoding site of the ribosome.",
"4V4Q-2","2005-08-30","4V4Q","10.1126/science.1117230","Structures of the bacterial ribosome at 3.5 A resolution.",
"4V52-2","2007-06-15","4V52","10.1038/nsmb1271","Structural basis for aminoglycoside inhibition of bacterial ribosome recycling.",
"1FJG-1","2000-08-08","1FJG","10.1038/35030019","Functional insights from the structure of the 30S ribosomal subunit and its interactions with antibiotics",
"1VY4-1","2014-05-13","1VY4","10.1038/nsmb.2871","A proton wire to couple aminoacyl-tRNA accommodation and peptide-bond formation on the ribosome.",
"1VY4-2","2014-05-13","1VY4","10.1038/nsmb.2871","A proton wire to couple aminoacyl-tRNA accommodation and peptide-bond formation on the ribosome.",
"4U4O-1","2014-07-24","4U4O","10.1038/nature13737","Structural basis for the inhibition of the eukaryotic ribosome.",
"4U50-1","2014-07-24","4U50","10.1038/nature13737","Structural basis for the inhibition of the eukaryotic ribosome.",
"4U4O-2","2014-07-24","4U4O","10.1038/nature13737","Structural basis for the inhibition of the eukaryotic ribosome.",
"4U50-2","2014-07-24","4U50","10.1038/nature13737","Structural basis for the inhibition of the eukaryotic ribosome.",
"4V8U-1","2012-08-28","4V8U","10.1371/journal.pone.0058829","Crystal structure of 70S ribosome with both cognate tRNAs in the E and P sites representing an authentic elongation complex.",
"4V8U-2","2012-08-28","4V8U","10.1371/journal.pone.0058829","Crystal structure of 70S ribosome with both cognate tRNAs in the E and P sites representing an authentic elongation complex.",
"1VY5-2","2014-05-13","1VY5","10.1038/nsmb.2871","A proton wire to couple aminoacyl-tRNA accommodation and peptide-bond formation on the ribosome.",
"1VY5-1","2014-05-13","1VY5","10.1038/nsmb.2871","A proton wire to couple aminoacyl-tRNA accommodation and peptide-bond formation on the ribosome.",
"4U4N-1","2014-07-24","4U4N","10.1038/nature13737","Structural basis for the inhibition of the eukaryotic ribosome.",
"4V9H-1","2013-03-25","4V9H","10.1126/science.1235490","Elongation factor G bound to the ribosome in an intermediate state of translocation.",
"6QTZ-1","2019-02-26","6QTZ","10.7554/eLife.44904","Mechanism of completion of peptidyltransferase centre assembly in eukaryotes.",
"6OM0-1","2019-04-17","6OM0","10.1038/s41594-019-0236-8","Structural basis for selective stalling of human ribosome nascent chain complexes by a drug-like molecule.",
"4V8Q-1","2011-12-10","4V8Q","10.1126/science.1217039","Decoding in the absence of a codon by tmRNA and SmpB in the ribosome.",
"4V92-1","2014-03-21","4V92","10.1016/J.CELL.2014.04.015","Initiation of Translation by Cricket Paralysis Virus Ires Requires its Translocation in the Ribosome.",
"4U4N-2","2014-07-24","4U4N","10.1038/nature13737","Structural basis for the inhibition of the eukaryotic ribosome.",
"4V8T-1","2012-08-07","4V8T","10.1038/NSMB.2425","Cryo-Em Structures of Arx1 and Maturation Factors Rei1 and Jjj1 Bound to the 60S Ribosomal Subunit",
"4V95-1","2012-01-27","4V95","10.1126/science.1217443","Structural basis for the rescue of stalled ribosomes: structure of YaeJ bound to the ribosome.",
"4V95-2","2012-01-27","4V95","10.1126/science.1217443","Structural basis for the rescue of stalled ribosomes: structure of YaeJ bound to the ribosome.",
"4U3N-1","2014-07-22","4U3N","10.1038/nature13737","Structural basis for the inhibition of the eukaryotic ribosome.",
"4U3N-2","2014-07-22","4U3N","10.1038/nature13737","Structural basis for the inhibition of the eukaryotic ribosome.",
"4DV6-1","2012-02-22","4DV6",,"A structural basis for streptomycin resistance",
"4U3M-1","2014-07-22","4U3M","10.1038/nature13737","Structural basis for the inhibition of the eukaryotic ribosome.",
"4U3M-2","2014-07-22","4U3M","10.1038/nature13737","Structural basis for the inhibition of the eukaryotic ribosome.",
"4V84-1","2010-12-13","4V84","10.1073/pnas.1018582108","Crystal structures of complexes containing domains from two viral internal ribosome entry site (IRES) RNAs bound to the 70S ribosome.",
"4V84-2","2010-12-13","4V84","10.1073/pnas.1018582108","Crystal structures of complexes containing domains from two viral internal ribosome entry site (IRES) RNAs bound to the 70S ribosome.",
"5FCJ-1","2015-12-15","5FCJ","10.1016/j.jmb.2016.02.013","Crystal Structures of the uL3 Mutant Ribosome: Illustration of the Importance of Ribosomal Proteins for Translation Efficiency.",
"5FCJ-2","2015-12-15","5FCJ","10.1016/j.jmb.2016.02.013","Crystal Structures of the uL3 Mutant Ribosome: Illustration of the Importance of Ribosomal Proteins for Translation Efficiency.",
"1MVR-1","2002-09-26","1MVR","10.1038/nature01224","A cryo-electron microscopic study of ribosome-bound termination factor RF2",
"5JTE-1","2016-05-09","5JTE","10.1038/ncomms12026","A combined cryo-EM and molecular dynamics approach reveals the mechanism of ErmBL-mediated translation arrest.",
"2OTJ-1","2007-02-08","2OTJ","10.1016/j.jmb.2007.01.081","The Structures of Antibiotics Bound to the E Site Region of the 50 S Ribosomal Subunit of Haloarcula marismortui: 13-Deoxytedanolide and Girodazole.",
"4V9F-1","2012-11-02","4V9F","10.1107/S0907444913004745","Revisiting the Haloarcula marismortui 50S ribosomal subunit model.",
"5T7V-1","2016-09-06","5T7V","10.1128/mBio.00395-17","Structural Basis for Linezolid Binding Site Rearrangement in theStaphylococcus aureusRibosome.",
"2OTL-1","2007-02-08","2OTL","10.1016/j.jmb.2007.01.081","The Structures of Antibiotics Bound to the E Site Region of the 50 S Ribosomal Subunit of Haloarcula marismortui: 13-Deoxytedanolide and Girodazole.",
"4V9I-1","2013-04-04","4V9I","10.1038/nature12302","Unusual base pairing during the decoding of a stop codon by the ribosome.",
"4V9I-2","2013-04-04","4V9I","10.1038/nature12302","Unusual base pairing during the decoding of a stop codon by the ribosome.",
"5DM7-1","2015-09-08","5DM7","10.1093/nar/gkv975","Crystallographic characterization of the ribosomal binding site and molecular mechanism of action of Hygromycin A.",
"6R6G-1","2019-03-27","6R6G","10.7554/eLife.46267","Structural and mutational analysis of the ribosome-arresting human XBP1u.",
"5DM6-1","2015-09-08","5DM6","10.1093/nar/gkv975","Crystallographic characterization of the ribosomal binding site and molecular mechanism of action of Hygromycin A.",
"6OLZ-1","2019-04-17","6OLZ","10.1038/s41594-019-0236-8","Structural basis for selective stalling of human ribosome nascent chain complexes by a drug-like molecule.",
"6AWC-1","2017-09-05","6AWC","10.7554/eLife.28560","Structure of RNA polymerase bound to ribosomal 30S subunit.",
"4DUY-1","2012-02-22","4DUY",,"A structural basis for streptomycin resistance",
"6QT0-1","2019-02-22","6QT0","10.7554/eLife.44904","Mechanism of completion of peptidyltransferase centre assembly in eukaryotes.",
"4V89-1","2011-11-17","4V89","10.1261/rna.031187.111","Crystal structure of release factor RF3 trapped in the GTP state on a rotated conformation of the ribosome.",
"6AWB-1","2017-09-05","6AWB","10.7554/eLife.28560","Structure of RNA polymerase bound to ribosomal 30S subunit.",
"5XXU-1","2017-07-05","5XXU","10.1038/cr.2017.104","Cryo-EM structures of the 80S ribosomes from human parasites Trichomonas vaginalis and Toxoplasma gondii",
"1XNQ-1","2004-10-05","1XNQ","10.1038/nsmb866","Structure of a purine-purine wobble base pair in the decoding center of the ribosome.",
"4V88-1","2011-10-11","4V88",,"The structure of the eukaryotic ribosome at 3.0 angstrom resolution.",
"4V88-2","2011-10-11","4V88",,"The structure of the eukaryotic ribosome at 3.0 angstrom resolution.",
"5XY3-1","2017-07-06","5XY3","10.1038/cr.2017.104","Cryo-EM structures of the 80S ribosomes from human parasites Trichomonas vaginalis and Toxoplasma gondii",
"2DYK-1","2006-09-14","2DYK",,"Crystal structure of N-terminal GTP-binding domain of EngA from Thermus thermophilus HB8",
"2DYK-2","2006-09-14","2DYK",,"Crystal structure of N-terminal GTP-binding domain of EngA from Thermus thermophilus HB8",
"4V87-2","2011-09-20","4V87","10.1038/nature10913","A new understanding of the decoding principle on the ribosome.",
"4V87-1","2011-09-20","4V87","10.1038/nature10913","A new understanding of the decoding principle on the ribosome.",
"4V7U-1","2010-08-15","4V7U","10.1073/pnas.1007988107","Structures of the Escherichia coli ribosome with antibiotics bound near the peptidyl transferase center explain spectra of drug action.",
"4V7U-2","2010-08-15","4V7U","10.1073/pnas.1007988107","Structures of the Escherichia coli ribosome with antibiotics bound near the peptidyl transferase center explain spectra of drug action.",
"6RXX-1","2019-06-10","6RXX","10.1016/j.molcel.2019.06.032","Thermophile 90S Pre-ribosome Structures Reveal the Reverse Order of Co-transcriptional 18S rRNA Subdomain Integration.",
"6OLF-1","2019-04-16","6OLF","10.1038/s41594-019-0236-8","Structural basis for selective stalling of human ribosome nascent chain complexes by a drug-like molecule.",
"4U4U-1","2014-07-24","4U4U","10.1038/nature13737","Structural basis for the inhibition of the eukaryotic ribosome.",
"4U56-1","2014-07-24","4U56","10.1038/nature13737","Structural basis for the inhibition of the eukaryotic ribosome.",
"4U4U-2","2014-07-24","4U4U","10.1038/nature13737","Structural basis for the inhibition of the eukaryotic ribosome.",
"4U56-2","2014-07-24","4U56","10.1038/nature13737","Structural basis for the inhibition of the eukaryotic ribosome.",
"4V8Z-1","2013-07-20","4V8Z","10.1126/science.1240585","Molecular architecture of a eukaryotic translational initiation complex.",
"6RXY-1","2019-06-10","6RXY","10.1016/j.molcel.2019.06.032","Thermophile 90S Pre-ribosome Structures Reveal the Reverse Order of Co-transcriptional 18S rRNA Subdomain Integration.",
"6OLG-1","2019-04-16","6OLG","10.1038/s41594-019-0236-8","Structural basis for selective stalling of human ribosome nascent chain complexes by a drug-like molecule.",
"486D-1","1999-09-09","486D","10.1126/science.285.5436.2095","X-ray crystal structures of 70S ribosome functional complexes.",
"4U55-2","2014-07-24","4U55","10.1038/nature13737","Structural basis for the inhibition of the eukaryotic ribosome.",
"4U55-1","2014-07-24","4U55","10.1038/nature13737","Structural basis for the inhibition of the eukaryotic ribosome.",
"5XYU-1","2017-07-10","5XYU","10.1007/s13238-017-0456-9","Cryo-EM structure of Mycobacterium smegmatis ribosome reveals two unidentified ribosomal proteins close to the functional centers.",
"1JJ2-1","2001-07-03","1JJ2","10.1093/emboj/20.15.4214","The kink-turn: a new RNA secondary structure motif.",
"6RXZ-1","2019-06-10","6RXZ","10.1016/j.molcel.2019.06.032","Thermophile 90S Pre-ribosome Structures Reveal the Reverse Order of Co-transcriptional 18S rRNA Subdomain Integration.",
"1Z58-1","2005-03-17","1Z58","10.1016/j.febslet.2005.03.023","A crevice adjoining the ribosome tunnel: Hints for cotranslational folding.",
"5UMD-1","2017-01-27","5UMD","10.1038/nmicrobiol.2017.31","Mefloquine targets the Plasmodium falciparum 80S ribosome to inhibit protein synthesis.",
"4V8Y-1","2013-07-20","4V8Y","10.1126/science.1240585","Molecular architecture of a eukaryotic translational initiation complex.",
"6OLI-1","2019-04-16","6OLI","10.1038/s41594-019-0236-8","Structural basis for selective stalling of human ribosome nascent chain complexes by a drug-like molecule.",
"4U4R-1","2014-07-24","4U4R","10.1038/nature13737","Structural basis for the inhibition of the eukaryotic ribosome.",
"4U53-1","2014-07-24","4U53","10.1038/nature13737","Structural basis for the inhibition of the eukaryotic ribosome.",
"4U4R-2","2014-07-24","4U4R","10.1038/nature13737","Structural basis for the inhibition of the eukaryotic ribosome.",
"4U53-2","2014-07-24","4U53","10.1038/nature13737","Structural basis for the inhibition of the eukaryotic ribosome.",
"4Y4O-1","2015-02-10","4Y4O","10.1038/nsmb.2992","Structural insights into the role of rRNA modifications in protein synthesis and ribosome assembly.",
"4Y4O-2","2015-02-10","4Y4O","10.1038/nsmb.2992","Structural insights into the role of rRNA modifications in protein synthesis and ribosome assembly.",
"5WDT-1","2017-07-06","5WDT","10.1093/nar/gky346","Cryo-EM shows stages of initial codon selection on the ribosome by aa-tRNA in ternary complex with GTP and the GTPase-deficient EF-TuH84A.",
"1FKA-1","2000-08-09","1FKA","10.1016/S0092-8674(00)00084-2","Structure of functionally activated small ribosomal subunit at 3.3 angstroms resolution.",
"5WE4-1","2017-07-07","5WE4","10.1093/nar/gky346","Cryo-EM shows stages of initial codon selection on the ribosome by aa-tRNA in ternary complex with GTP and the GTPase-deficient EF-TuH84A.",
"4WOI-2","2014-10-15","4WOI","10.1038/ncomms8896","Chemically related 4,5-linked aminoglycoside antibiotics drive subunit rotation in opposite directions.",
"4WOI-1","2014-10-15","4WOI","10.1038/ncomms8896","Chemically related 4,5-linked aminoglycoside antibiotics drive subunit rotation in opposite directions.",
"1EG0-1","2000-02-11","1EG0","10.1016/S0092-8674(00)80690-X","Solution structure of the E. coli 70S ribosome at 11.5 A resolution.",
"4V9M-1","2013-04-25","4V9M","10.1126/science.1236086","Crystal structures of EF-G-ribosome complexes trapped in intermediate states of translocation.",
"4V9M-2","2013-04-25","4V9M","10.1126/science.1236086","Crystal structures of EF-G-ribosome complexes trapped in intermediate states of translocation.",
"5JC9-1","2016-04-14","5JC9","10.1073/pnas.1605127113","Resistance mutations generate divergent antibiotic susceptibility profiles against translation inhibitors.",
"5JC9-2","2016-04-14","5JC9","10.1073/pnas.1605127113","Resistance mutations generate divergent antibiotic susceptibility profiles against translation inhibitors.",
"4V9N-1","2013-04-26","4V9N","10.1016/j.str.2013.04.028","Crystal Structure of the 70S Ribosome Bound with the Q253P Mutant Form of Release Factor RF2.",
"4V9N-2","2013-04-26","4V9N","10.1016/j.str.2013.04.028","Crystal Structure of the 70S Ribosome Bound with the Q253P Mutant Form of Release Factor RF2.",
"6OM7-1","2019-04-18","6OM7","10.1038/s41594-019-0236-8","Structural basis for selective stalling of human ribosome nascent chain complexes by a drug-like molecule.",
"6V3D-1","2019-11-25","6V3D","10.1128/mBio.03117-19","Cryo-electron Microscopy Structure of the Acinetobacter baumannii 70S Ribosome and Implications for New Antibiotic Development.",
"5LZS-1","2016-10-02","5LZS","10.1016/j.cell.2016.10.046","Decoding Mammalian Ribosome-mRNA States by Translational GTPase Complexes.",
"4V7E-1","2013-11-22","4V7E","10.1038/nature12950","Structures of the Sec61 complex engaged in nascent peptide translocation or membrane insertion.",
"5XXB-1","2017-07-03","5XXB","10.1038/cr.2017.104","Cryo-EM structures of the 80S ribosomes from human parasites Trichomonas vaginalis and Toxoplasma gondii",
"6V3E-1","2019-11-25","6V3E","10.1128/mBio.03117-19","Cryo-electron Microscopy Structure of the Acinetobacter baumannii 70S Ribosome and Implications for New Antibiotic Development.",
"4V7F-1","2013-12-10","4V7F","10.1038/ncomms4491","60S ribosome biogenesis requires rotation of the 5S ribonucleoprotein particle.",
"4V5L-1","2010-09-02","4V5L","10.1126/SCIENCE.1194460","The Mechanism for Activation of GTP Hydrolysis on the Ribosome.",
"3JBP-1","2015-09-16","3JBP","10.1093/nar/gkv991","Dynamical features of the Plasmodium falciparum ribosome during translation.",
"4V5M-1","2010-10-01","4V5M","10.1038/NATURE09547","Head Swivel on the Ribosome Facilitates Translocation by Means of Intra-Subunit tRNA Hybrid Sites.",
"4LSK-2","2013-07-22","4LSK","10.1073/pnas.1409436111","Structural insights into +1 frameshifting promoted by expanded or modification-deficient anticodon stem loops.",
"4LSK-1","2013-07-22","4LSK","10.1073/pnas.1409436111","Structural insights into +1 frameshifting promoted by expanded or modification-deficient anticodon stem loops.",
"1I2A-1","2001-02-07","1I2A",
"6FYY-1","2018-03-12","6FYY","10.7554/eLife.39273","Translational initiation factor eIF5 replaces eIF1 on the 40S ribosomal subunit to promote start-codon recognition.",
"5TGA-1","2016-09-27","5TGA","10.15252/embr.201642943","Molecular insights into protein synthesis with proline residues.",
"5TGA-2","2016-09-27","5TGA","10.15252/embr.201642943","Molecular insights into protein synthesis with proline residues.",
"6MTC-1","2018-10-19","6MTC","10.7554/eLife.40486","Structures of translationally inactive mammalian ribosomes.",
"4V6W-1","2013-02-27","4V6W","10.1038/nature12104","Structures of the human and Drosophila 80S ribosome.",
"4V78-1","2013-10-14","4V78","10.1038/nsmb.2690","Energy barriers and driving forces in tRNA translocation through the ribosome.",
"1XMO-1","2004-10-04","1XMO","10.1038/nsmb861","The role of modifications in codon discrimination by tRNA(Lys)(UUU).",
"4V6G-1","2009-07-10","4V6G","10.1038/nsmb.1790","Structural aspects of messenger RNA reading frame maintenance by the ribosome.",
"4V6G-2","2009-07-10","4V6G","10.1038/nsmb.1790","Structural aspects of messenger RNA reading frame maintenance by the ribosome.",
"6BZ8-2","2017-12-22","6BZ8","10.1093/nar/gky1178","Ribosomal ambiguity (ram) mutations promote the open (off) to closed (on) transition and thereby increase miscoding.",
"6BZ8-1","2017-12-22","6BZ8","10.1093/nar/gky1178","Ribosomal ambiguity (ram) mutations promote the open (off) to closed (on) transition and thereby increase miscoding.",
"3J28-1","2012-09-28","3J28","10.1093/nar/gks1256","Dissecting the in vivo assembly of the 30S ribosomal subunit reveals the role of RimM and general features of the assembly process",
"6V3A-1","2019-11-25","6V3A","10.1128/mBio.03117-19","Cryo-electron Microscopy Structure of the Acinetobacter baumannii 70S Ribosome and Implications for New Antibiotic Development.",
"5LZA-1","2016-09-29","5LZA","10.1038/nature20560","The pathway to GTPase activation of elongation factor SelB on the ribosome.",
"3J2D-1","2012-09-28","3J2D","10.1093/nar/gks1256","Dissecting the in vivo assembly of the 30S ribosomal subunit reveals the role of RimM and general features of the assembly process",
"1JGO-1","2001-06-26","1JGO","10.1016/S0092-8674(01)00435-4","The path of messenger RNA through the ribosome.",
"3J2F-1","2012-09-28","3J2F","10.1093/nar/gks1256","Dissecting the in vivo assembly of the 30S ribosomal subunit reveals the role of RimM and general features of the assembly process.",
"5LI0-1","2016-07-13","5LI0","10.1093/nar/gkw933","Structure of the 70S ribosome from human pathogen Staphylococcus aureus.",
"5LZC-1","2016-09-29","5LZC","10.1038/nature20560","The pathway to GTPase activation of elongation factor SelB on the ribosome.",
"5LZB-1","2016-09-29","5LZB","10.1038/nature20560","The pathway to GTPase activation of elongation factor SelB on the ribosome.",
"5T5H-1","2016-08-31","5T5H","10.1073/pnas.1614594113","Structure and assembly model for the Trypanosoma cruzi 60S ribosomal subunit.",
"3J2G-1","2012-09-28","3J2G","10.1093/nar/gks1256","Dissecting the in vivo assembly of the 30S ribosomal subunit reveals the role of RimM and general features of the assembly process.",
"4V6V-1","2013-02-25","4V6V","10.1038/ncomms2470","Mechanism of tetracycline resistance by ribosomal protection protein Tet(O).",
"4V77-1","2013-10-14","4V77","10.1038/nsmb.2690","Energy barriers and driving forces in tRNA translocation through the ribosome.",
"4V6L-1","2011-01-07","4V6L","10.1038/emboj.2011.58","Structural insights into cognate versus near-cognate discrimination during decoding.",
"1LOU-1","1998-11-25","1LOU","10.1021/bi982819j","Structural changes in the transition state of protein folding: alternative interpretations of curved chevron plots.",
"3JCN-1","2016-01-04","3JCN","10.1126/sciadv.1501502","Structures of ribosome-bound initiation factor 2 reveal the mechanism of subunit association.",
"4V6K-1","2011-01-07","4V6K","10.1038/emboj.2011.58","Structural insights into cognate versus near-cognate discrimination during decoding.",
"3JCJ-1","2015-12-18","3JCJ","10.1126/sciadv.1501502","Structures of ribosome-bound initiation factor 2 reveal the mechanism of subunit association.",
"3J29-1","2012-09-28","3J29","10.1093/nar/gks1256","Dissecting the in vivo assembly of the 30S ribosomal subunit reveals the role of RimM and general features of the assembly process",
"4V6I-1","2010-10-12","4V6I","10.1073/pnas.1009999107","Cryo-EM structure and rRNA model of a translating eukaryotic 80S ribosome at 5.5-A resolution.",
"1VVJ-1","2013-05-24","1VVJ","10.1073/pnas.1409436111","Structural insights into +1 frameshifting promoted by expanded or modification-deficient anticodon stem loops.",
"1VVJ-2","2013-05-24","1VVJ","10.1073/pnas.1409436111","Structural insights into +1 frameshifting promoted by expanded or modification-deficient anticodon stem loops.",
"6RW5-1","2019-06-03","6RW5","10.1038/s41467-020-16503-2","Distinct pre-initiation steps in human mitochondrial translation.",
"3J2B-1","2012-09-28","3J2B","10.1093/nar/gks1256","Dissecting the in vivo assembly of the 30S ribosomal subunit reveals the role of RimM and general features of the assembly process",
"1JGQ-1","2001-06-26","1JGQ","10.1016/S0092-8674(01)00435-4","The path of messenger RNA through the ribosome.",
"6I0Y-1","2018-10-26","6I0Y","10.1073/pnas.1810523115","Folding pathway of an Ig domain is conserved on and off the ribosome.",
"4V6U-1","2012-08-09","4V6U","10.1093/nar/gks1259","Promiscuous behaviour of archaeal ribosomal proteins: Implications for eukaryotic ribosome evolution.",
"4V76-1","2013-10-14","4V76","10.1038/nsmb.2690","Energy barriers and driving forces in tRNA translocation through the ribosome.",
